"nome","verso"
"Capim Guiné","Plantei um sítio no sertão de piritibaDois pés de guataibaCaju, manga e cajáPeguei na enxada como pega um catingueiroFiz acero, botei fogoVá ver como é que táTem abacate, jenipapo e bananeiraMilho verde, macaxeiraComo diz no CearáCebola, coentro andu, feijão-de-cordaVinte porco na engordaAté o gado no curráCom muita raça, fiz tudo aqui sozinhoNem um pé de passarinhoVeio a terra semeáAgora veja, cumpadi, a safadezaCumeçô a marvadezaTodo bicho vem prá cáNum planto capim-guiné pra boi abaná raboEu tô virado no diaboEu tô retado com vocêTá vendo tudo e fica aí paradoCom cara de viadoQue viu caxinguelêSuçuarana só fez perversidadePardal foi pra cidade piruá minha saqüéQüé! Qüé!Dona raposa só vive na mardadeMe faça a caridadeSe vire e dê no péSagüi trepado no pé da goiabeiraSariguê na macaxeiraTem inté tamanduáMinhas galinha já num fica mais paradaE o galo de madrugadaTem medo de cantáNum planto capim-guiné pra boi abaná raboEu tô virado no diaboEu tô retado com vocêTá vendo tudo e fica aí paradoCom cara de viadoQue viu caxinguelêNum planto capim-guiné pra boi abaná raboEu tô virado no diaboEu tô retado com vocêTá vendo tudo e fica aí paradoCom cara de viadoQue viu caxinguelêNum planto capim-guiné pra boi abaná raboEu tô virado no diaboEu tô retado com vocêTá vendo tudo e fica aí paradoCom cara de viado, ôme?Que viu caxinguelê"
"Caroço de Manga","Sempre que eu lhe dou a mão Você segura no meu pé Eu faço tudo por você Tudo o que você quiserEu quero uma colher de chá No grande jogo do xadrez Não quero ver você chorar Não quero ver você chorarTou aqui pro que vier Eu danço o que você tocar É só dar corda no boneco Tango, Rock ou cha-cha-chaNão tenho nada a perder Aquilo que pintar eu tô Porque eu gosto de você Porque eu gosto de vocêEssa vida inteira é uma brincadeira É só ficar quieto e não dar bandeira Você chupou a manga até o fim E só deixou o caroço para mim E melhor que isso só carnavalPegue essa motocicleta E vá mostrar quem é você Bota o seu blusão de couro Agora é que eu quero verNa arrancada do futuro Sem nunca pedir arrego Nos olhos cegos do morcego Nos olhos cegos do morcegoEssa vida inteira é uma brincadeira Eu fico feliz com qualquer besteiraVocê chupou a manga até o fim E só deixou o caroço para mim E melhor que isso só carnavalPegue essa motocicleta E vá mostrar quem é você Bota o seu blusão de couro Agora é que eu quero verNa arrancada do futuro Sem nunca pedir arrego Nos olhos cegos do morcego Nos olhos cegos do morcego"
"Carpinteiro do Universo","Carpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu souNão sei por que nascipra querer ajudar a querer consertarO que não pode serNão sei pois nasci para isso, e aquiloE o enguiço de tanto quererCarpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu souHumm...Estou semprepensando em aparar o cabelo de alguémE sempre tentando mudar a direção do tremÀ noite a luz do meu quarto eu não quero apagarPra que você não tropece na escada, quando chegarCarpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu souO meu egoismo, é tão egoístaque o auge do meu egoismo é querer ajudarMas Não sei por que nascipra querer ajudar a querer consertarO que não pode serNão sei pois nasci para isso, e aquiloE o enguiço de tanto quererCarpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu souCarpinteiro do universo inteiro eu sou (Ah eu sou assim!)No finalCarpinteiro de mim!"
"Cavalos Calados","O termômetro registrou,a enfermeira confirmou,a minha morte aparente, a minha sorte, minha camisa rasgada nopeito, escorrendo óleo diesel.O relógio alarmou,a TV anunciou,a minha morte, preta e branca, a sua sorte, e o seu durex já nãocola, já não basta o tapa-olho, eu tenho mais um por entre as pernascabeludas, olhos e antenas sobresalentes.O meu pulso não pulsou,o aparelho aceitou,a minha morte aparente, a sua sorte, minha garganta sem voz.acordo semi-lúcido,entre a morte e a morte,relembrando onde perdi a minha língua atrevidapelas mortes,pelas vidas,pelas avenidas,pelas Ave Marias cantadas em coro no meu violão.Pelas ruas sem chão!Meu corpo tem dois mil e tantos cavalos calados..."
"Check-Up","Acabei de darUm check-up na situaçãoO que me levou a relerAlice no país das maravilhasAcabei de tomar meu quilindroxMeu discomelE outras pílulas maisDuas horas da manhãRecebo nos peitoUm ploct-plus, vinte e cincoE vou dormir quase em pazE a chuva prometeNão deixar vestígiosAcabei de dar outro check-upGeral na situaçãoO que levou a relerAlice no país das maravilhasAcabei de tomar meu quilindroxMeu discomelE outras pílulas maisDuas horas da manhãRecebo nos peitoUm ploct-plus, vinte e cincoE vou dormir quase em pazE a chuva prometeNão deixar vestígiosE a chuva prometeNão deixar vestígios"
"Check-Up (Versão Censurada)","Acabei de dar um check-up geral na situação,O que me levou a reler ""Alice no País das Maravilhas"".Já chupei a laranja mecânica e lhe digo mais,Plantei a casca na minha cabeçaAcabei de tomar meu Diempax,Meu Valium 10 e outras pílulas mais.Duas horas da manhã recebo nos peitoUm Triptanol 25.E vou dormir quase em paz.E a chuva promete não deixar vestígio...E a chuva promete não deixar vestígio...E a chuva promete não deixar vestígio..."
"Chorinho Inconsequente","Queria ter o meu amor Lá no cinema No poeira de Ipanema gargalhando pra valer E uma patota inconsequente na Tijuca Estraçalhando a minha cuca e me dando o que fazerQueria ter a praia,O sol e a contra-mãoA confusão da rua, O som de uma canção A multidão que passa, A praça é agitação O futebol de areia, O chope em vocaçãoE eu queria ter amor, ter liberdade Pra ter toda esta cidade dentro do meu coração2XQueria ter o meu amor Lá no cinema No poeira de Ipanema gargalhando pra valer E uma patota inconsequente na Tijuca Estraçalhando a minha cuca e me dando o que fazerQueria ter a praia,O sol e a contra-mãoA confusão da rua, O som de uma canção A multidão que passa, A praça é agitação O futebol de areia, O chope em vocaçãoE eu queria ter amor, ter liberdade Pra ter toda esta cidade dentro do meu coração2X"
"Coisas do Coração","Quando o navio finalmente alcançar a terraE o mastro da nossa bandeira se enterrar no chãoEu vou poder pegar em sua mãoFalar de coisas que eu não disse ainda nãoCoisas do coração!Coisas do coração!Quando a gente se tornar rima perfeitaE assim virarmos de repente uma palavra sóIgual a um nó que nunca se desfazFamintos um do outro como canibaisPaixão e nada mais!Paixão e nada mais!Somos a resposta exata do que a gente perguntouEntregues num abraço  que sufoca o próprio amorCada um de nós é o resultado da uniãoDe duas mãos coladas numa mesma oração!Coisas do coração!Coisas do coração!"
"Como Vovó Já Dizia","-Como vovó já diziaQuem não tem colírioUsa óculos escuro(Mas não é bem verdade!)Quem não tem colírioUsa óculos escuroHum!Quem não tem colírioUsa óculos escuroMinha vó já me diziaPara eu sair sem me molharQuem não tem colírioUsa óculos escuroMas a chuva é minha amigaE eu não vou me resfriarQuem não tem colírioUsa óculos escuroA serpente está na terraO programa está no arQuem não tem colírioUsa óculos escuroA formiga só trabalhaPorque não sabe cantarQuem não tem colírioUsa óculos escuroQuem não tem filéCome pão e osso duroQuem não tem visãoBate a cara contra o muroUuuuuuuh!Quem não tem colírioUsa óculos escuroÉ tanta coisa no menuQue eu não sei o que comerQuem não tem colírioUsa óculos escuroJosé Newton já dizia""Se subiu tem que descer""Quem não tem colírioUsa óculos escuroSó com a praia bem desertaÉ que o sol pode nascerQuem não tem colírioUsa óculos escuroA banana é vitaminaQue engorda e faz crescerQuem não tem colírioUsa óculos escuroQuem não tem filéCome pão e osso duroQuem não tem visãoBate a cara contra o muroOxeeenteQuem não tem colírioUsa óculos escuroSolta a serpente!Hare Krishna!Hare Krishna!Quem não tem colírioUsa óculos escuroQuem não tem filéCome pão e osso duroQuem não tem visãoBate a cara contra o muroUhuuuu!Quem não tem colírioUsa óculos escuroÉ tanta coisa no menuQue eu não sei o que comerQuem não tem colírioUsa óculos escuroSó com a praia bem desertaÉ que o sol pode nascerQuem não tem colírioUsa óculos escuroJosé Newton já dizia""Se subiu tem que descer""Quem não tem colírioUsa óculos escuroA banana é vitaminaQue engorda e faz crescerQuem não tem colírioUsa óculos escuroMinha vó já me diziaPara eu sair sem me molharQuem não tem colírioUsa óculos escuroMas a chuva é minha amigaE eu não vou me resfriarQuem não tem colírioUsa óculos escuroA serpente tá na terraE o programa está no arQuem não tem colírioUsa óculos escuroA formiga só trabalhaPorque não sabe cantarQuem não tem colírioUsa óculos escuro"
"Como Vovó Já Dizia (Versão Censurada)","(Quem não tem colírio, usa óculos escurosQuem não tem colírio, usa óculos escuros)(Quem não tem colírio, usa óculos escuros)Essa luz tá muito forte tenho medo de cegar(Quem não tem colírio, usa óculos escuros)Os meus olhos tão manchados com teus raios de luar(Quem não tem colírio, usa óculos escuros)Eu deixei a vela acesa para a bruxa não voltar(Quem não tem colírio, usa óculos escuros)Acendi a luz do dia para a noite não chiarQuem não tem colírio, usa óculos escurosQuem não tem papel dá o recado pelo muroQuem não tem presente se conforma com o futuro(Quem não tem colírio, usa óculos escuros)Já bebi daquela água quero agora vomitar(Quem não tem colírio, usa óculos escuros)Uma vez a gente aceita, duas tem que reclamar(Quem não tem colírio, usa óculos escuros)A serpente está na terra o programa está no ar(Quem não tem colírio, usa óculos escuros)Vim de longe de outra terra pra morder teu calcanharQuem não tem colírio, usa óculos escurosQuem não tem papel dá o recado pelo muroQuem não tem presente se conforma com o futuro(Quem não tem colírio, usa óculos escuros)Essa noite eu tive um sonho, eu queria me matar(Quem não tem colírio, usa óculos escuros)Tudo tá na mesma coisa, cada coisa em seu lugar(Quem não tem colírio, usa óculos escuros)Com dois galos a galinha não tem tempo de chocar(Quem não tem colírio, usa óculos escuros)Tanto pé na nossa frente que não sabe como andarQuem não tem colírio, usa óculos escurosQuem não tem papel dá o recado pelo muroQuem não tem presente se conforma com o futuro"
"Conserve Seu Medo","Conserve seu medoMantenha ele acesoSe você não temeSe você não amaVai acabar cedoEsteja atentoAo rumo da HistóriaMantenha em segredoMas mantenha vivaSua paranóiaConserve seu medoMas sempre ficandoSem medo de nadaPorque dessa vidaDe qualquer maneiraNão se leva nadaE ande pra frenteOlhando pro ladoSe entregue a quem amaNa rua ou na camaMas tenha cuidadoConserve seu medoMas sempre ficandoSem medo de nadaPorque dessa vidaDe qualquer maneiraNão se leva nadaE ande pra frenteOlhando pro ladoSe entregue a quem amaNa rua ou na camaMas tenha cuidadoCuidado! Ah! Ah!Muito!"
"Conversa Pra Boi Dormir","Jota batista batizou JesusDe água e sal e o sinal da cruzCom a profecia que já ""tava"" esquecidaPara que seu povo encontrasse a luz!Há quanto tempo que o brasil não ganha?Isso é conversa para boi dormir!Espero em Deus, porque ele é brasileiroPra trazer o progresso que eu não vejo aquiAndré Sidane só faz confusãoSonhei com ele e mijei no colchão!Não tenho saco pra ouvir artistaComendo alpiste na mesma estaçãoCantando regra com o rei na barrigaE só de preguiça não mudou o botãoAmigo Nero tocou fogo em romaCom a mania de ser inventorMas como a história sempre se repeteDe tanto feitiço ele se enfeitiçouFalou que Deus não quis dá asa à cobraSeria um bicho ameaçadorMas tem uma peste delas avoandoQue o diabo fez enquanto Deus marcou!O tempo passa, eu tô ficando velhoAndam brincando com a vida da genteDireito eu tenho mas anda escondidoChicotinho queimado, tá ficando quente!Hum!Tá ficando quente!(E diz que Deus não deu asa a cobra!)Tá ficando quente!"
"Coração Noturno","Amanhece, amanhece, amanheceAmanhece, amanhece o diaUm leve toque de poesiaCom a certeza que a luzQue se derramaNos traga um pouco, um pouco, um pouco de alegria!A frieza do relógioNão compete com a quentura do meu coraçãoCoração que bate 4 por 4Sem lógica, sem lógica e sem nenhuma razãoBom dia sol!Bom dia, dia!Olha a fonte, olha os montesHorizonteOlha a luz que enxovalha e guiaA lua se oferece ao diaE eu, e eu guardo cada pedacinho de mimPra mim mesmoRindo louco, louco, mas louco de euforiaBom dia sol!Bom dia, dia!Eu e o coraçãoCompanheiros de absurdos no noturnoNo soturnoNo entanto, entretantoE portantoBom dia sol!Bom dia, sol!"
"Corrine  Corrina","corrine corrina,eu te amo tantocorrine corrina,eu te odeio tantoeu amo corrina,é,ela é minha garotaeu disse que amo corrina,quero dar a ela alguma emoçãoela irá baixar suas calçase dar um lar ao meu paucorrine corrina...eu amei corrina na traseira do meu carroquando ela tirou suas calcinhase eu vi aquela grande e velha cicatrizeu voei por cima do assoalhoe voltei para o bar (pra tomar um suco)corrine corrina,você sabe que eu te amo tanto"
"Cowboy Fora da Lei","Mamãe, não quero ser prefeitoPode ser que eu seja eleitoE alguém pode querer me assassinarEu não preciso ler jornaisMentir sozinho eu sou capazNão quero ir de encontro ao azarPapai não quero provar nadaEu já servi à Pátria amadaE todo mundo cobra minha luzOh, coitado, foi tão cedoDeus me livre, eu tenho medoMorrer dependurado numa cruzEu não sou besta pra tirar onda de heróiSou vacinado, eu sou cowboyCowboy fora da leiDurango Kid só existe no gibiE quem quiser que fique aquiE entrar pra história é com vocêsMamãe, não quero ser prefeitoPode ser que eu seja eleitoE alguém pode querer me assassinarEu não preciso ler jornaisMentir sozinho eu sou capazNão quero ir de encontro ao azarPapai não quero provar nadaEu já servi à Pátria amadaE todo mundo cobra minha luz, minha luzOh, coitado, foi tão cedoDeus me livre, eu tenho medoMorrer dependurado numa cruzEu não sou besta pra tirar onda de heróiSou vacinado, eu sou cowboyCowboy fora da leiDurango Kid só existe no gibiE quem quiser que fique aquiE entrar pra história é com vocêsEu não sou besta pra tirar onda de heróiSou vacinado, eu sou cowboyCowboy fora da leiDurango Kid só existe no gibiE quem quiser que fique aquiE entrar pra história é com vocês"
"D.D.I (Discagem Direta Interestelar)","Alô, aqui é do céuQuem tá na linha é DeusTô vendo tudo esquisitoO que que há com vocês??Por favor, não deixem a peteca cairQue o diabo diz que vai baixar de uma vez por aíEu fiz vocês como euImagem e perfeiçãoE vocês anarquizandoA minha reputaçãoNão é só novena, terço e oraçãoEm vez de resmungar eu quero é verVocês em açãoVocês em ação!Foram milhões de anos dedicado a vocêsFazendo vossas cabeças, não fui eu quem marqueiO que que vocês querem exigir mais de mimSe tudo o que eu faço vocês acham ruimAgora vou desligar, o telefone tá caroJá falei demais, 'brigado pela atençãoMas se alguém ligar dizendo ser euPode ser um trote do diaboQue já desceuQue já desceu!Foram milhões de anos dedicado a vocêsFazendo vossas cabeças, não fui eu quem marqueiO que que vocês querem exigir mais de mimSe tudo o que eu faço vocês acham ruimAgora vou desligar, o telefone tá caroJá falei demais, brigado pela atençãoMas se alguém ligar dizendo ser euPode ser um trote do diaboQue já desceuQue já desceuQue já desceu""Eu já estou aqui!!!"""
"D.D.I. (Versão Censurada)","Música Solo, gravada em casa de Raul, ao que tudo indica seria esta a versão original da música D.D.I. (Discagem Direta Interestelar).DDI que é uma conversa de Deus com o pessoal aqui na Terra.Alô aqui é do Céu.Quem tá na linha é Deus.Tô vendo tudo esquisitoO que que deu em vocês?Por favor não deixem a peteca cair.O diabo disse que vai baixar de uma vez por aí.Pois é...eu fiz vocês como eu,imagem e perfeiçãoe vocês anarquisandoa minha reputação.Eu não compreendo tanta reclamaçãose dei igual pra todo mundo,tem gente aímetendo a mão...metendo a mão...metendo a mão.Segunda...Tão acabando com a Terra...que era somente sua.agora já tão querendo se mudar pra lua.O que vocês querem exigir mais de mim.Se tudo que eu fizvocês acham ruim?Agora eu vou desligaro telefone tá caro.Já falei demais.Brigado pela atenção.Mas por favor se ligarem dizendo ser euPode ser um trote do diaboque já desceu.Que já desceu.pode ser um trote do diabo.que já desceu.Que já desceu.Pode ser um trote do diabo.que..cjá...desceu."
"Dá-lhe Que Dá","Dá, dá-lhe que dáDá, dá-lhe que dá, mãeQue não vai sangrar, nãoEu digo, vai lá!(Dá-lhe que dá)Dá, dá-lhe que dáDá, dá-lhe que dá, mamãeQue não vai sangrar, nãoEu digo, vai lá!(Dá-lhe que dá)Tire a careta, mamãe, vamos remarQue essa onda já tá pra estourarE o perigo de você se afogar é muito, muito, muitoDá, dá-lhe que dáDá, dá-lhe que dá, mãeQue não vai sangrar, nãoEu digo, vai lá!(Dá-lhe que dá)Vai fundo!Dá, dá-lhe que dáDá, dá-lhe que dá, mamãeQue não vai sangrar, nãoEu digo, vai lá!(Dá-lhe que dá)O resto é com vocêsTudo"
"De Cabeça Pra Baixo","É na cidade de cabeça pr baixoA gente usa o teto como capachoNinguém precisa morrerPra conseguir o Paraíso no altoO céu já está no asfaltoNa cidade de cabeça pra baixoDinheiro é fruta que apodrece no cachoNinguém precisa correrNem tem ideia do que é calendárioNum tem problema de horárioNa cidade de cabeça pra baixoÉ tão bonito ver o sorriso do povoQue habita o lugarOlhar pra cima e ver a espuma das ondasSe quebrando no arNa cidade de cabeça pra baixoA gente usa o teto como capachoNinguém precisa fazerNenhuma coisa que não tenha vontadeVou me mudar pra cidadeVou pra cidade de cabeça pra baixoOlha pra cima meu filhoO chão é lugar de cuspirNa cidade de cabeça pra baixoÉ tão bonito ver o sorriso do povoQue habita o lugarOlhar pra cima e ver a espuma das ondasSe quebrando no arNa cidade de cabeça pra baixoA gente usa o teto como capachoNinguém precisa fazerNenhuma coisa que não tenha vontadeVou me mudar pra cidade, nego, euÉ na cidade de cabeça pra baixoÉ na cidade de cabeça pra baixoÉ na cidade de cabeça pra baixo"
"Dê-me Tua Mão","Enxugue estas lágrimasNão fique triste assimUm dia voltarei meu bemAqui não é o fimDê-me tua mãoÉ teu o meu coraçãoNão vou te esquecerNão fique a temerPois o nosso amorNão foi em vão"
"Dentadura Postiça","Vai cair, vai cair, vai cairA estrela do céuVai cairA noite no marVai cairO nível do gásVai cairA cinza no chãoVai cairJuízo finalVai cairOs dentes de JóVai cairO preço do caosVai cairPeteca no chãoVai sairO sol outra vezVai sairUm filho pra luzVai sairDa cara o terrorVai sairO expresso 22Vai sairA máscara azulVai sairO verde do marVai sairUm novo gibiVai sairDa cara o suorVai subirCachorro urubuVai subirO elevadorVai subirO preço do horrorVai subirO nível mentalVai subirO disco voadorVai subirA torre babelVai subirO Cristo pro céuVai subirA chama do malVai cairEstrela do céuVai cairA noite no marVai cairO nível do gásVai cairA cinza no chãoVai cairJuízo finalVai cairOs dentes de JóVai cairO preço do caosVai cairPeteca no chãoVai sairO sol outra vezVai sairUm filho pra luzVai sairDa cara o terrorVai sairO expresso 22Vai sairA máscara azulVai sairO verde do marVai sairUm novo gibiVai sairDa cara o suorVai subirCachorro urubuVai subirO elevadorVai subirO preço do horror"
"Dia da Saudade","Hoje é o dia da saudade, é!Hoje é feriado é o dia da saudade (3x)Hoje eu vou beber para celebrarO aniversário de seu GasparDeve ter festa em algum lugarHoje é feriado é o dia da saudadeHoje é feriado é o dia da saudadeHoje não tem aula pra garotadaVelhas de varizes na calçada,Só na saudadePara o campeão do melhor glutãoUm pé de macarrãoO palhaço que come lixoLimpa a avenida para o blocoDo chorão passarHoje é feriado é o dia da saudadeHoje é feriado é o dia da saudadePara o campeão do melhor glutãoUm pé de macarrão pra eleO palhaço que come lixo,Limpa a avenida para o bloco do chorão passarHoje é feriado é o dia da saudade (6x)"
"Diamante de Mendigo","Eu tive que perder minha famíliaPara perceber o benefício que ela me proporcionavaÉ triste aceitar esse enganoQuando já se esgotaram asPossibilidadesE agora sofro as atitudes que tomeiPor acreditar em verdades ignorantesQue na época tomei acreditandoNuma moda passageiraQue se foi tal qual fumaçaNão respeitei o sacrifícioQue custa para construirA fortaleza que se chama famíliaAcabamos no fim perdendo aQuem nos amaSó por que o jornaleiro da esquinaFalou que é otário aquele que confiaE é tão difícil confiar em alguémQuando a gente aceita se mentir, se mentirSomente conhecendo a beleza da uniãoÉ que a gente tem a forçaPara não, não se enganarEu que me achava um diamanteNas mãos de mendigosSó pelo medo de não sê-loNão respeitei o sacrifícioQue custa para construirA fortaleza que se chama famíliaAcabamos no fim perdendo a quem nos amaSó porque o jornaleiro da esquinaFalou que é otário aquele que confiaE é tão difícil confiar em alguémQuando a gente aceita se mentir, se mentirSomente conhecendo a beleza da uniãoÉ que a gente tem a força paraNão, não se enganarEu que me achava um diamanteNas mãos de mendigos, peloMedo de não sê-loEu que me achava um diamanteNas mãos de mendigosPelo medo de não sê-lo"
"Diana / Little Darlin' / Oh! Carol / Runaway (Medley)","I'm so young and you're so oldThis, my darling, I've been toldI don't care just what they sayCause forever I will prayYou and I will be as freeAs birds up in the treesOh, please, stay by me, DianaStay by me, DianaSo darling, you're my little loverThere can be no otherI give my love to youWell, you're my little loverThere can be no otherI give my love to youWell...Oh, CarolI am but a foolDarling, I love youThough you treat me cruelWell, you hurt meAnd then you make me cryBut if you leave meI will surely dieAs I walk alongI wonder a-what went wrongWith our loveA love that was so strongAnd as I still walk by,I think of the times we've had togetherWhile our hearts were youngI'm a walking in the rainIt's a-falling and I'm feeling painWishing you were here by meTo end this miseryI wonderI wa-wa-wa-wa-wonderWhyAh-why-why-why-why-whyShe went awayYes, I wonder where you will stayMy little runaway, run-run-run-run."
"Do You Know What It Means To Miss New Orleans","Do you know what it means to miss New OrleansAnd miss it each night and dayI know I'm not wrong, the feeling's getting strongerThe longer I stay awayMiss the moss-covered vines, tall sugar pinesWhere mockingbirds used to singI'd love to see that old lazy MississippiHurrying into springThe moonlight on the bayouA creole tune that fills the airI dream about magnolias in bloomAnd I'm wishin I was thereDo you know what it means to miss New OrleansWhen that's where you left your heartAnd there's one thing more, I miss the one I care forMore than I miss New Orleans"
"Doce, Doce Amor","Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor, Doce, doce amor,que eu vou te encontrar, meu bem, seja onde for.Está fazendo uma semana, que sem mais nem menos eu perdi você.Mas não sei determinar ao certoqual foi a razão, meu bem vem me dizer.Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor, Doce, doce amor,que eu vou te encontrar, meu bem, seja onde for.Já andei por todos os lugares de antigamente,pra te encontrar, e nas ruas que passava só lembrava,você que foi embora sem em avisar.Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor, Doce, doce amor,que eu vou te encontrar, meu bem, seja onde for.Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor, Doce, doce amor,que eu vou te encontrar, meu bem, seja onde for.Está fazendo uma semana, que sem mais nem menos eu perdi você.Mas não sei determinar ao certoqual foi a razão, meu bem vem me dizer.Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor, Doce, doce amor,que eu vou te encontrar, meu bem, seja onde for.Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor, Doce, doce amor,que eu vou te encontrar, meu bem, seja onde for.Doce, doce amor,onde tens andado, diga por favor.Doce, doce amor..."
"Dr. Pacheco","Lá vai nosso herói Dr. PachecoCom sua careca inconfundívelA gravata e o paletóMisturando-se às pessoas da vidaLá vai Dr. PachecoO herói dos dias úteisMisturando-se às pessoas que o fizeramFormado, reformado, engomadoNum sorriso fabricadoPela escola da ilusãoTem jeito de perfeitoNo defeitoSem ter feito com proveitoAproveita a ocasiãoDr. Pacheco, vai doutorarDr. Pacheco, foi almoçarDo Do Do Do Do DoutorDo Do Do Do Do DoutorPachecoPerdido, dividido, dirigidoCarcomido e iludidoTem nos olhos o cifrãoDisfarça na fumaçae acha graçaSem saber que a rua passaEntre a massa e o caminhãoDr. Pacheco não vai voltarDr. Pacheco foi almoçarDr. Pacheco não vai voltarDr. Pacheco foi almoçar..."
"É Fim De Mês","É fim de mês, é fim de mês, é fim de mêsÉ fim de mês, é fim de mês!Eu já paguei a conta do meu telefoneEu já paguei por eu falar e já paguei por eu ouvirEu já paguei a luz, o gás, o apartamentoKitnet de um quarto que eu comprei a prestaçãoPela caixa federal, au, au, auEu não sou cachorro não (não, não, não)!Eu liquidei a prestação do paletó, do meu sapato, da camisaQue eu comprei pra domingar com o meu amorLá no cristo redentor, ela gostou (oh!) e mergulhou (oh!)E o fim de mês vem outra vez!Eu já paguei o peg-pag, meu pecadoMais a conta do rosário que eu comprei pra mim rezar Ave MariaEu também sou filho de DeusSe eu não rezar eu não vou pro céuCéu, céu, céuJá fui pantera, já fui hippie, beatnikTinha o símbolo da paz pendurado no pescoçoPorque nego disse a mim que era o caminho da salvaçãoJá fui católico, budista, protestanteTenho livros na estante, todos tem explicaçãoMas não achei! Eu procurei!Pra você ver que procureiEu procurei fumar cigarro HollywoodQue a televisão me diz que é o cigarro do sucessoEu sou sucesso! Eu sou sucesso!No posto esso encho o tanque do meu carrinhoBebo em troca meu cafezinho, cortesia da matriz""There's a tiger no chassis""Do fim do mês, do fim de mêsDo fim de mês eu já sou freguês!Eu já paguei o meu pecado na capelaSob a luz de sete velas que eu comprei pro meu Senhor do Bonfim, olhai por mim!Tô terminando a prestação do meu buraco, doMeu lugar no cemitério pra não me preocuparDe não mais ter onde morrerAinda bem que no mês que vemPosso morrer, já tenho o meu tumbão, o meu tumbão!Eu consultei e acreditei no velho papo do tal psiquiatraQue te ensina como é que você vive alegrementeAcomodado e conformado de pagar tudo caladoSer bancário ou empregado sem jamais se aborrecerEle só quer, só pensa em adaptarNa profissão seu dever é adaptarEle só quer, só pensa em adaptarNa profissão seu dever é adaptarEu já paguei a prestação da geladeiraDo açougue fedorento que me vende carne podreQue eu tenho que comerQue engolir sem vomitarQuando às vezes desconfioSe é gato, jegue ou mulaAquele talho de acém que eu comprei pra minha patroaPra ela não me apoquentarE o fim de mês vem outra vez"
"Ê Meu Pai","Ê, meu pai, olha teu filho meu paiÊ, meu pai, ajuda o filho meu paiQuando eu cair no chão segura a minha mãoMe ajuda a levantar para lutarÊ, meu pai, olha teu filho meu paiÊ, meu pai, ajuda o filho meu paiSe o medo da loucura nessa estrada escuraMe afastar da luz que me conduzÊ, meu pai, olha teu filho meu paiÊ, meu pai, ajuda o filho meu paiSe eu me sentir sozinho ou sair do caminhoE a dor vier de noite me assustarÊ, meu pai, olha teu filho meu paiÊ, meu pai, ajuda o filho meu pai"
"Estou Voltando Para Casa","Estou voltando para casaMinha camisa amassadaMais um dia de trabalhoQue afinal chegou ao fimEstou voltando para casaJá comprei o meu jornalMeu café eu já tomeiTodo dia é sempre assimE o ônibus não para de correrMe encosto e começo a pensarNas cenas que eu costumava verMeu cão não vai latir quando eu chegarVenho por todo o caminhoRelembrando em pedacinhosQuando eu chegava em casa ela sempre estava sóNo portão me esperandoAnsiosa me aguardandoDe minha mãos ela tomava minha pasta e o paletóE o ônibus não para de correrMe encosto e começo a pensarNas cenas que eu costumava verMeu cão não vai latir quando eu chegarLembro quando um certo diaBem cansado eu chegavaSem saber eu me esperava uma coisa bem piorSeu recado eu encontrei quase não acrediteiDizendo que iria embora pra viver vida melhorAgora falta pouco pra chegar mas hoje nem o cão vai latirPois não há ninguém a me esperar o portão sozinho eu vou abrirVou chegar bem devagar, pendurar meu paletó e fazer o meu jantar"
"Estupido Cupido / Banho de Lua / Lacinhos Cor de Rosa (Pot-Pourri)","Oh! cupido, vê se deixa em pazMeu coração já não aguenta maisEu amei há muito tempo atrásJá cansei de tanto soluçarHei, hei, é o fim, oh, cupido pra longe de mimEu dei o coração cansado de chorarGo now play the Robin HoodWith somebody else's heartOh! cupido, vê se deixa em pazMeu coração já não aguenta maisEu amei há muito tempo atrásJá cansei de tanto soluçarHei, hei, é o fim, oh, cupido pra longe de mimTomo banho de luaFico branco como a neveSe o luar é meu amigoCensurar ninguém se atreveComo é bom sonhar contigoHey, hey! Luar tão cândidoEu tomo banho de luaNuma noite de esplendorSinto a força da magiaDa magia do amorComo é bom sonhar contigoHey, hey! Luar tão cândidoDim, dim, dim, raio de luaDim, dim, dim, baixando vemAo mundo, oh luaA cândida lua vemTomo banho de luaNuma noite de esplendorEu sinto a força da magiaDa magia do amorMas como é bom sonhar contigoHey, hey! Luar tão cândidoUm sapatinho eu vouCom laco cor de rosa enfeitar, aw!E perto dele eu vouAndar devagarinho e meu broto conquistar"
